"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1501","đi đúng giờ , dạy đủ kiến thức .","đi đúng giờ , dạy đủ kiến thức"," dạy","Teaching quality","đúng giờ , dạy đủ","Positive"
"1502","thầy theo rất sát sinh viên chúng em trong từng buổi học , thầy luôn làm ví dụ để sinh viên dễ dàng hơn trong việc code .","thầy theo rất sát sinh viên chúng em trong từng buổi học","thầy theo","Support from lecturers","rất sát","Positive"
"1502","thầy theo rất sát sinh viên chúng em trong từng buổi học , thầy luôn làm ví dụ để sinh viên dễ dàng hơn trong việc code ."," thầy luôn làm ví dụ để sinh viên dễ dàng hơn trong việc code","thầy luôn làm ví dụ","Teaching quality","dễ dàng hơn","Positive"
"1503","ít tiết nên sinh viên học có vẻ nhàm chán và khuôn mẫu , nên có thời gian để sinh viên tmf hiểu nhiều hơn .","ít tiết nên sinh viên học có vẻ nhàm chán và khuôn mẫu , nên có thời gian để sinh viên tmf hiểu nhiều hơn","ít tiết","Course information","nhàm chán và khuôn mẫu","Negative"
"1504","thầy đến rất đúng giờ .","thầy đến rất đúng giờ","thầy đến","Organization and management","rất đúng giờ","Positive"
"1505","giáo viên không hướng dẫn sử dụng các tài liệu có hiệu quả và không hướng dẫn làm bài tập mà chỉ sửa bài tập .","giáo viên không hướng dẫn sử dụng các tài liệu có hiệu quả và không hướng dẫn làm bài tập mà chỉ sửa bài tập","giáo viên không hướng dẫn sử dụng các tài liệu có hiệu quả và không hướng dẫn làm bài tập mà chỉ sửa bài tập","Support from lecturers","giáo viên không hướng dẫn sử dụng các tài liệu có hiệu quả và không hướng dẫn làm bài tập mà chỉ sửa bài tập ","Negative"
"1506","giáo viên dạy nhiệt tình , đảm bảo kiến thức cho sinh viên .","giáo viên dạy nhiệt tình , đảm bảo kiến thức cho sinh viên","giáo viên dạy","Teaching quality","nhiệt tình , đảm bảo kiến thức","Positive"
"1507","nên để giáo viên có kinh nghiệm dạy môn này .","nên để giáo viên có kinh nghiệm dạy môn này","giáo viên có kinh nghiệm dạy môn này","Course information","nên để giáo viên có kinh nghiệm dạy môn này","Neutral"
"1508","thầy dạy rất hay , ngắn gọn , tổng quát và dễ hiểu .","thầy dạy rất hay , ngắn gọn , tổng quát và dễ hiểu","thầy dạy","Teaching quality","rất hay , ngắn gọn , tổng quát và dễ hiểu","Positive"
"1509","cô rất dễ thương , giảng dạy nhiệt tình và dễ hiểu .","cô rất dễ thương , giảng dạy nhiệt tình và dễ hiểu","cô rất dễ thương , giảng dạy nhiệt tình và dễ hiểu","Teaching quality","dễ thương , giảng dạy nhiệt tình và dễ hiểu","Positive"
"1510","cô rất gần gũi với học sinh .","cô rất gần gũi với học sinh","cô rất gần gũi","Support from lecturers"," gần gũi với học sinh","Positive"
"1511","thầy rất giảng rất nhiệt tình .","thầy rất giảng rất nhiệt tình","thầy rất giảng","Teaching quality","nhiệt tình","Positive"
"1512","thương xuyên ôn tập kiến thức .","thương xuyên ôn tập kiến thức"," ôn tập kiến thức","Support from lecturers","thương xuyên","Neutral"
