id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,cần có nhiều ví dụ .,cần có nhiều ví dụ,ví dụ,Teaching quality,cần có nhiều,Neutral
2,"cần nhiều đề thi để sinh viên có thế ôn luyện , làm quen với cấu trúc đề thi !","cần nhiều đề thi để sinh viên có thế ôn luyện , làm quen với cấu trúc đề thi","đề thi để sinh viên có thế ôn luyện , làm quen với cấu trúc đề thi",Course information,cần nhiều,Neutral
3,chuyên sâu .,chuyên sâu,chuyên sâu,General review,chuyên sâu,Neutral
4,"một số chỗ khó hiểu , nhưng nếu chăm chỉ tự học thì sẽ khắc phục được .","một số chỗ khó hiểu , nhưng nếu chăm chỉ tự học thì sẽ khắc phục được ",một số chỗ,Course information," khó hiểu , nhưng nếu chăm chỉ tự học thì sẽ khắc phục được",Neutral
5,"có lẽ thầy giảng như thế thì chỉ phù hợp với người học có trình độ thạc sĩ , tiến sĩ trở lên thôi .","có lẽ thầy giảng như thế thì chỉ phù hợp với người học có trình độ thạc sĩ , tiến sĩ trở lên thôi", giảng,Teaching quality,"chỉ phù hợp với người học có trình độ thạc sĩ , tiến sĩ trở lên thôi",Negative
6,em mong nhà trường xem lại bài thi thi đầu vào môn anh văn của nhà trường .,em mong nhà trường xem lại bài thi thi đầu vào môn anh văn của nhà trường, bài thi thi đầu vào môn anh văn ,Test and evaluation, mong nhà trường xem lại ,Neutral
7,thầy khá vui tính .,thầy khá vui tính,thầy khá vui tính,Teaching quality,khá vui tính,Positive
8,"trong khi đó sinh viên phải làm đồ án môn học , mọi vấn đề gặp phải nếu chờ 3 tuần để được gặp giảng viên giải đáp thì sinh viên không thể hoàn thành đúng tiến độ .","trong khi đó sinh viên phải làm đồ án môn học , mọi vấn đề gặp phải nếu chờ 3 tuần để được gặp giảng viên giải đáp thì sinh viên không thể hoàn thành đúng tiến độ ",mọi vấn đề gặp phải ,Organization and management,chờ 3 tuần để được gặp giảng viên giải đáp thì sinh viên không thể hoàn thành đúng tiến độ,Negative
9,cô rất nhiệt tình trong giảng dạy .,cô rất nhiệt tình trong giảng dạy ,giảng dạy ,Teaching quality,rất nhiệt tình ,Positive
10,"bài tập thầy đưa ra cho lớp hơi khó , nhưng quá đó giúp chúng em rèn luyện tư duy thuật toán .","bài tập thầy đưa ra cho lớp hơi khó , nhưng quá đó giúp chúng em rèn luyện tư duy thuật toán",bài tập ,Workload,"đưa ra cho lớp hơi khó , nhưng quá đó giúp chúng em rèn luyện tư duy thuật toán",Neutral
11,hy vọng đây không phải là sinh viên đầu tiên phản ánh vấn đề này .,hy vọng đây không phải là sinh viên đầu tiên phản ánh vấn đề này,hy vọng đây không phải là sinh viên đầu tiên phản ánh vấn đề này,General review,hy vọng đây không phải là sinh viên đầu tiên phản ánh vấn đề này,Negative
12,"rất đúng giờ , giờ học đầy đủ và đầy đủ những gì có trong sách .",rất đúng giờ, giờ,Organization and management,rất đúng,Positive
12,"rất đúng giờ , giờ học đầy đủ và đầy đủ những gì có trong sách .",giờ học đầy đủ ,giờ học,Organization and management,đầy đủ ,Positive
12,"rất đúng giờ , giờ học đầy đủ và đầy đủ những gì có trong sách .",và đầy đủ những gì có trong sách,đầy đủ những gì có trong sách,Teaching quality,đầy đủ những gì có trong sách,Positive
13,phân bổ lịch thực hành cho hợp lý .,phân bổ lịch thực hành cho hợp lý, lịch thực hành,Organization and management,phân bổ lịch thực hành cho hợp lý,Neutral
14,cập nhật thêm những cấu trúc lập trình mới !,cập nhật thêm những cấu trúc lập trình mới ,những cấu trúc lập trình mới,Course information,cập nhật thêm,Neutral
15,giảng viên giảng bài không thực sự hiệu quả .,giảng viên giảng bài không thực sự hiệu quả,giảng bài,Teaching quality, không thực sự hiệu quả,Negative
