"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","thầy sử dụng thời gian dạy tốt .","thầy sử dụng thời gian dạy tốt","sử dụng thời gian dạy","Organization and management","tốt","Positive"
"2","thầy wzjwz205 rất nhiệt tình với sinh viên , luôn cung cấp kiến thức cập nhật và thực tiễn .","thầy wzjwz205 rất nhiệt tình với sinh viên","nhiệt tình với sinh viên","Support from lecturers","nhiệt tình","Positive"
"2","thầy wzjwz205 rất nhiệt tình với sinh viên , luôn cung cấp kiến thức cập nhật và thực tiễn .","luôn cung cấp kiến thức cập nhật và thực tiễn","cung cấp kiến thức cập nhật và thực tiễn","Teaching quality","luôn cung cấp","Positive"
"3","tài liệu và giảng viên nhiệt tình .","tài liệu","tài liệu","Course information","tài liệu","Neutral"
"3","tài liệu và giảng viên nhiệt tình .","và giảng viên nhiệt tình","giảng viên nhiệt tình","Support from lecturers","nhiệt tình","Positive"
"4","thầy dạy tâm huyết với sinh viên , dạy cho sinh viên rất nhiều kiến thức bổ ích !","thầy dạy tâm huyết với sinh viên","dạy","Teaching quality","tâm huyết","Positive"
"4","thầy dạy tâm huyết với sinh viên , dạy cho sinh viên rất nhiều kiến thức bổ ích !","dạy cho sinh viên rất nhiều kiến thức bổ ích","dạy","Teaching quality","nhiều kiến thức bổ ích","Positive"
"5","thầy giúp sinh viên luyện tập rất nhiệt tình .","thầy giúp sinh viên luyện tập rất nhiệt tình","giúp sinh viên luyện tập","Support from lecturers","nhiệt tình","Positive"
"6","khi có thông báo nghỉ , cần cập nhập thông tin trên web của khoa wzjwz158 .","khi có thông báo nghỉ , cần cập nhập thông tin trên web của khoa wzjwz158","thông báo nghỉ , cần cập nhập thông tin trên web của khoa","Organization and management","cần cập nhập","Neutral"
"7","kiến thức truyền đạt còn ít , thời gian lên lớp thường trễ .","kiến thức truyền đạt còn ít","kiến thức truyền đạt","Teaching quality","còn ít","Negative"
"7","kiến thức truyền đạt còn ít , thời gian lên lớp thường trễ .","thời gian lên lớp thường trễ","thời gian lên lớp thường trễ","Organization and management","thường trễ","Negative"
"8","em nghĩ nên thi thực hành thay vì lý thuyết cuối kỳ .","em nghĩ nên thi thực hành thay vì lý thuyết cuối kỳ","thi thực hành thay vì lý thuyết cuối kỳ","Test and evaluation","nên","Neutral"
"9","khi sinh viên nhờ thầy giải một bài tập để làm mẫu nhưng không nhận được bất kỳ bài giải nào từ thầy .","khi sinh viên nhờ thầy giải một bài tập để làm mẫu nhưng không nhận được bất kỳ bài giải nào từ thầy","nhờ thầy giải một bài tập để làm mẫu nhưng không nhận được bất kỳ bài giải nào","Support from lecturers","không nhận được","Negative"
"10","thời lượng thi ít khiến nhiều câu bỏ trống .","thời lượng thi ít khiến nhiều câu bỏ trống","thời lượng thi ít khiến nhiều câu bỏ trống","Organization and management","ít khiến nhiều câu bỏ trống","Negative"
"11","cách thầy dạy môn này trong kỳ trước em không được biết chỉ được nghe từ các bạnem đã cảm thấy vui khi được học với thầy .","cách thầy dạy môn này trong kỳ trước em không được biết chỉ được nghe từ các bạnem đã cảm thấy vui khi được học với thầy","cách thầy dạy môn này trong kỳ trước em không được biết chỉ được nghe từ các bạnem đã cảm thấy vui khi được học","General review","vui khi được học","Positive"
"12","thường xuyên nghỉ học không thông báo , lên lớp trễ .","thường xuyên nghỉ học không thông báo , lên lớp trễ","nghỉ học không thông báo , lên lớp trễ","Organization and management","không thông báo , lên lớp trễ","Negative"
"13","cô giáo rất tận tình và có phương pháp giảng dạy rất tốt đối với sinh viên .","cô giáo rất tận tình","cô giáo rất tận tình","Support from lecturers","tận tình","Positive"
"13","cô giáo rất tận tình và có phương pháp giảng dạy rất tốt đối với sinh viên .","và có phương pháp giảng dạy rất tốt đối với sinh viên","phương pháp giảng dạy","Teaching quality","tốt","Positive"
"14","giảng viên luôn vui vẻ và tận tình giúp đỡ sinh viên .","giảng viên luôn vui vẻ và tận tình giúp đỡ sinh viên","giúp đỡ sinh viên","Support from lecturers","vui vẻ và tận tình","Positive"
"15","dùng lời lẽ để ép buộc sinh viên .","dùng lời lẽ để ép buộc sinh viên","dùng lời lẽ để ép buộc sinh viên","Support from lecturers","ép buộc","Negative"
"16","những thứ đó không đủ để làm bài thực hành như tuần 5 , tuần 6 , tuần 7 .","những thứ đó không đủ để làm bài thực hành như tuần 5 , tuần 6 , tuần 7","bài thực hành","Workload","không đủ","Negative"
"17","bài tập deadline quá nhiều mà thời gian lại quá ngắn .","bài tập deadline quá nhiều mà thời gian lại quá ngắn","bài tập deadline quá nhiều","Workload","deadline quá nhiều mà thời gian lại quá ngắn","Negative"
"18","nên rút gọn kiến thức lại .","nên rút gọn kiến thức lại","rút gọn kiến thức","Course information","nên","Neutral"
"19","đan xen những câu chuyện thực tiễn trong lúc học .","đan xen những câu chuyện thực tiễn trong lúc học","câu chuyện thực tiễn trong lúc học","Teaching quality","đan xen những câu chuyện thực tiễn","Positive"
"20","thầy không chú trọng đến kết quả tốt hay không mà khuyến khích sinh viên làm việc hết khả năng của mình .","thầy không chú trọng đến kết quả tốt hay không mà khuyến khích sinh viên làm việc hết khả năng của mình","khuyến khích sinh viên","Support from lecturers","khuyến khích","Positive"
"21","không có hoạt động không hài lòng .","không có hoạt động không hài lòng","không hài lòng","General review","không có hoạt động không hài lòng","Positive"
"22","có nhiều nội dung liên quan tới thực tiễn , có thể áp dụng vào thực tế sau này .","có nhiều nội dung liên quan tới thực tiễn , có thể áp dụng vào thực tế sau này","nội dung liên quan tới thực tiễn","Course information","có thể áp dụng","Positive"
"23","vào lớp muộn , cho ra trễ .","vào lớp muộn","vào lớp muộn","Organization and management","muộn","Negative"
"23","vào lớp muộn , cho ra trễ .","cho ra trễ","ra trễ","Organization and management","trễ","Negative"
"24","thầy vui tính , thường xuyên cho bài tập cho sinh viên .","thầy vui tính","thầy vui tính","Support from lecturers","vui tính","Positive"
"24","thầy vui tính , thường xuyên cho bài tập cho sinh viên .","thường xuyên cho bài tập cho sinh viên","cho bài tập","Teaching quality","thường xuyên","Positive"
"25","sinh viên trường wzjwz80 chúng ta hoàn toàn không được đánh giá cao so với sinh viên của wzjwz81 và wzjwz82 .","sinh viên trường wzjwz80 chúng ta hoàn toàn không được đánh giá cao so với sinh viên của wzjwz81 và wzjwz82","không được đánh giá cao","General review","không được đánh giá cao","Negative"
"26","giảng viên vui vẻ , giảng dạy tận tâm .","giảng viên vui vẻ","giảng viên vui vẻ","Teaching quality","vui vẻ","Positive"
"26","giảng viên vui vẻ , giảng dạy tận tâm .","giảng dạy tận tâm","giảng dạy","Teaching quality","tận tâm","Positive"
"27","giáo viên lên lớp đầy đủ , tận tâm , nhiệt tình trong giảng dạy .","giáo viên lên lớp đầy đủ","lên lớp đầy đủ","Organization and management","đầy đủ","Positive"
"27","giáo viên lên lớp đầy đủ , tận tâm , nhiệt tình trong giảng dạy .","tận tâm","tận tâm","Support from lecturers","tận tâm","Positive"
"27","giáo viên lên lớp đầy đủ , tận tâm , nhiệt tình trong giảng dạy .","nhiệt tình trong giảng dạy","giảng dạy","Teaching quality","nhiệt tình","Positive"
"28","phương pháp giảng dạy ( cụ thể là cách truyền đạt ) của thầy đơn giản , dễ hiểu và hiệu quả .","phương pháp giảng dạy ( cụ thể là cách truyền đạt ) của thầy đơn giản , dễ hiểu và hiệu quả","phương pháp giảng dạy","Teaching quality","đơn giản , dễ hiểu và hiệu quả","Positive"
"29","phát âm thuật ngữ tiếng anh không chuẩn , khó phân biệt khi nghe giảng .","phát âm thuật ngữ tiếng anh không chuẩn , khó phân biệt khi nghe giảng","nghe giảng","Teaching quality","không chuẩn , khó phân biệt","Negative"
"30","giảng viên dạy tâm huyết , nhiệt tình , bài tập cụ thể rõ ràng .","giảng viên dạy tâm huyết","dạy","Teaching quality","tâm huyết","Positive"
"30","giảng viên dạy tâm huyết , nhiệt tình , bài tập cụ thể rõ ràng .","nhiệt tình","nhiệt tình","Support from lecturers","nhiệt tình","Positive"
"30","giảng viên dạy tâm huyết , nhiệt tình , bài tập cụ thể rõ ràng .","bài tập cụ thể rõ ràng","bài tập cụ thể rõ ràng","Teaching quality","cụ thể rõ ràng","Positive"
"31","thầy có đi dạy trễ .","thầy có đi dạy trễ","dạy trễ","Organization and management","trễ","Negative"
"32","có thể nói học nhập môn lập trình gặp được cô là một điều vô cùng may mắn , cảm ơn cô nhiều .","có thể nói học nhập môn lập trình gặp được cô là một điều vô cùng may mắn , cảm ơn cô nhiều","học nhập môn lập trình gặp được cô","Teaching quality","vô cùng may mắn , cảm ơn","Positive"
"33","cô wzjwz195 thật tuyệt vời .","cô wzjwz195 thật tuyệt vời","cô wzjwz195 thật tuyệt vời","General review","tuyệt vời","Positive"
"34","nếu thầy có thể đến sớm để dạy cho sinh viên có thể nghĩ trưa được nhiều hơn .","nếu thầy có thể đến sớm để dạy cho sinh viên có thể nghĩ trưa được nhiều hơn","đến sớm để dạy cho sinh viên có thể nghĩ trưa","Organization and management","nếu thầy có thể","Neutral"
"35","thầy thường xuyên nghỉ mà không thông báo .","thầy thường xuyên nghỉ mà không thông báo","nghỉ mà không thông báo","Organization and management","không thông báo","Negative"
"36","cách giảng dạy đơn giản , ngắn gọn nhưng dễ tiếp thu .","cách giảng dạy đơn giản , ngắn gọn nhưng dễ tiếp thu","cách giảng dạy","Teaching quality","đơn giản , ngắn gọn nhưng dễ tiếp thu","Positive"
"37","bài giảng chưa thật sự thu hút .","bài giảng chưa thật sự thu hút","bài giảng","Teaching quality","chưa thật sự thu hút","Negative"
"38","giảng dạy chi tiết , dễ hiểu .","giảng dạy chi tiết , dễ hiểu","giảng dạy","Teaching quality","chi tiết , dễ hiểu","Positive"
"39","điểm làm đồ án nên trên 50% thì sẽ có tính thực tiễn hơn .","điểm làm đồ án nên trên 50% thì sẽ có tính thực tiễn hơn","điểm làm đồ án nên trên 50%","Test and evaluation","thực tiễn hơn","Positive"
"40","phòng học oi bức .","phòng học oi bức","phòng học","Learning environment","oi bức","Negative"
"41","kích thích sự đam mê cho các sinh viên .","kích thích sự đam mê cho các sinh viên","kích thích sự đam mê","Teaching quality","kích thích","Positive"
"42","không dạy vào trọng tâm chương trình , sử dụng giáo trình mà thường đi lan man .","không dạy vào trọng tâm chương trình","dạy","Teaching quality","không dạy vào trọng tâm chương trình","Negative"
"42","không dạy vào trọng tâm chương trình , sử dụng giáo trình mà thường đi lan man .","sử dụng giáo trình mà thường đi lan man","sử dụng giáo trình","Teaching quality","đi lan man","Negative"
"43","tận tâm , chu đáo .","tận tâm","tận tâm","Support from lecturers","tận tâm","Positive"
"43","tận tâm , chu đáo .","chu đáo","chu đáo","Support from lecturers","chu đáo","Positive"
"44","thầy rất hay nói thêm về các tài liệu tiếng anh , các kiến thức mà sách tiếng việt không đề cập , bổ sung nhiều kiến thức hay cho sinh viên .","thầy rất hay nói thêm về các tài liệu tiếng anh , các kiến thức mà sách tiếng việt không đề cập","tài liệu tiếng anh , các kiến thức mà sách tiếng việt không đề cập","Teaching quality","rất hay nói thêm","Positive"
"44","thầy rất hay nói thêm về các tài liệu tiếng anh , các kiến thức mà sách tiếng việt không đề cập , bổ sung nhiều kiến thức hay cho sinh viên .","bổ sung nhiều kiến thức hay cho sinh viên","kiến thức hay","Teaching quality","bổ sung nhiều","Positive"
"45","thầy nên cho nhiều ví dụ liên quan đến bài học hơn , và nên có hình thức làm và nộp bài tập hàng tuần .","thầy nên cho nhiều ví dụ liên quan đến bài học hơn , và nên có hình thức làm và nộp bài tập hàng tuần","ví dụ liên quan đến bài học hơn , và nên có hình thức làm và nộp bài tập hàng tuần","Teaching quality","nên cho nhiều","Neutral"
"46","phòng thực hành khoa wzjwz70 máy hư tùm lum , không hiểu sao phòng thực hành mấy khoa khác như wzjwz71 , wzjwz72 đầu tư mới với tốt hơn nhiều .","phòng thực hành khoa wzjwz70 máy hư tùm lum","phòng thực hành","Learning environment","hư","Negative"
"46","phòng thực hành khoa wzjwz70 máy hư tùm lum , không hiểu sao phòng thực hành mấy khoa khác như wzjwz71 , wzjwz72 đầu tư mới với tốt hơn nhiều .","không hiểu sao phòng thực hành mấy khoa khác như wzjwz71 , wzjwz72 đầu tư mới với tốt hơn nhiều","phòng thực hành","Learning environment","đầu tư mới với tốt hơn nhiều","Negative"
"47","thầy đi dạy rất đúng giờ , giảng dạy nhiệt tình .","thầy đi dạy rất đúng giờ","đúng giờ","Organization and management","đúng giờ","Positive"
"47","thầy đi dạy rất đúng giờ , giảng dạy nhiệt tình .","giảng dạy nhiệt tình","dạy","Teaching quality","nhiệt tình","Positive"
"48","tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy .","tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy","tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy","General review","tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy","Neutral"
"49","luôn quan tâm sinh viên , dạy kiến thức hay , dễ hiểu .","luôn quan tâm sinh viên","quan tâm sinh viên","Support from lecturers","quan tâm","Positive"
"49","luôn quan tâm sinh viên , dạy kiến thức hay , dễ hiểu .","dạy kiến thức hay , dễ hiểu","dạy","Teaching quality","hay , dễ hiểu","Positive"
"50","thầy giảng dạy nhiệt tình , tận tụy , tận tình hướng dẫn .","thầy giảng dạy nhiệt tình","dạy","Teaching quality","nhiệt tình","Positive"
"50","thầy giảng dạy nhiệt tình , tận tụy , tận tình hướng dẫn .","tận tụy","tận tụy","Support from lecturers","tận tụy","Positive"
"50","thầy giảng dạy nhiệt tình , tận tụy , tận tình hướng dẫn .","tận tình hướng dẫn","hướng dẫn","Support from lecturers","tận tình","Positive"
"51","mong các môn thực hành cách tuần sẽ chuyển thành hàng tuần .","mong các môn thực hành cách tuần sẽ chuyển thành hàng tuần","môn thực hành cách tuần sẽ chuyển thành hàng tuần","Organization and management","mong","Neutral"
"52","giải đáp thắc mắc cho các bạn sinh viên .","giải đáp thắc mắc cho các bạn sinh viên","giải đáp thắc mắc cho các bạn sinh viên","Support from lecturers","giải đáp","Positive"
"53","chúc thầy tràn đầy sức khỏe và giảng dạy thật tốt trong các kỳ tiếp theo !","chúc thầy tràn đầy sức khỏe và giảng dạy thật tốt trong các kỳ tiếp theo","chúc thầy tràn đầy sức khỏe và giảng dạy thật tốt trong các kỳ tiếp theo","General review","chúc thầy tràn đầy sức khỏe","Positive"
"54","môn học không mang tính ứng dụng và thực tế , kiến thức quá chung chung .","môn học không mang tính ứng dụng và thực tế","tính ứng dụng và thực tế","Course information","không mang tính ứng dụng và thực tế , kiến thức quá chung chung","Negative"
"55","một số vấn đề sinh viên thắc mắc đăng lên course thường được giảng viên trả lời chậm , và thường không trả lời luôn .","một số vấn đề sinh viên thắc mắc đăng lên course thường được giảng viên trả lời chậm , và thường không trả lời luôn","trả lời chậm , và thường không trả lời","Support from lecturers","trả lời chậm , và thường không trả lời","Negative"
"56","phương pháp giảng dạy giúp sinh viên nắm bắt được nhiều lỗi sai trong bài .","phương pháp giảng dạy giúp sinh viên nắm bắt được nhiều lỗi sai trong bài","phương pháp giảng dạy","Teaching quality","nắm bắt được nhiều lỗi sai","Positive"
"57","bài học liên quan tới thực tế .","bài học liên quan tới thực tế","bài học","Teaching quality","liên quan tới thực tế","Positive"
"58","giảng viên thường xuyên đưa bài tập lên bảng để vừa giảng vừa tạo ra cuộc thảo luận .","giảng viên thường xuyên đưa bài tập lên bảng để vừa giảng vừa tạo ra cuộc thảo luận","đưa bài tập lên bảng để vừa giảng vừa tạo ra cuộc thảo luận","Teaching quality","thường xuyên","Positive"
"59","cô rất dễ thương , cho điểm khách quan , cô giúp em nhớ lại nhiều kiến thức .","cô rất dễ thương","cô rất dễ thương","Support from lecturers","dễ thương","Positive"
"59","cô rất dễ thương , cho điểm khách quan , cô giúp em nhớ lại nhiều kiến thức .","cho điểm khách quan","cho điểm","Test and evaluation","khách quan","Positive"
"59","cô rất dễ thương , cho điểm khách quan , cô giúp em nhớ lại nhiều kiến thức .","cô giúp em nhớ lại nhiều kiến thức","cô giúp em nhớ lại nhiều kiến thức","Support from lecturers","nhớ lại nhiều kiến thức","Positive"
"60","slide môn học một số phần dịch từ tiếng anh khó hiểu , không rõ ràng .","slide môn học một số phần dịch từ tiếng anh khó hiểu , không rõ ràng","slide môn học","Course information","khó hiểu , không rõ ràng","Negative"
"61","thầy cho bài tập về nhà hàng tuần .","thầy cho bài tập về nhà hàng tuần","bài tập về nhà hàng tuần","Workload","cho","Neutral"
"62","cho cái nhìn về môi trường bên ngoài doanh nghiệp .","cho cái nhìn về môi trường bên ngoài doanh nghiệp","môi trường bên ngoài doanh nghiệp","Course information","cái nhìn","Positive"
"63","cách dạy và cách nói chuyện của thầy rất thu hút , giúp em tập trung vào bài học rất dễ .","cách dạy và cách nói chuyện của thầy rất thu hút","cách dạy và cách nói chuyện","Teaching quality","thu hút","Positive"
"63","cách dạy và cách nói chuyện của thầy rất thu hút , giúp em tập trung vào bài học rất dễ .","giúp em tập trung vào bài học rất dễ","tập trung vào bài học","Teaching quality","dễ","Positive"
"64","rất mong thầy trong thời gian giảng dạy có thể cải thiện nhiều phương pháp truyền đạt để môn học thú vị hơn .","rất mong thầy trong thời gian giảng dạy có thể cải thiện nhiều phương pháp truyền đạt để môn học thú vị hơn","phương pháp truyền đạt","Teaching quality","có thể cải thiện","Neutral"
"65","em có gửi một message trên trang web môn học cho một thầy nhưng mà chờ mãi vẫn chưa nhận được câu trả lời .","em có gửi một message trên trang web môn học cho một thầy nhưng mà chờ mãi vẫn chưa nhận được câu trả lời","message trên trang web môn học cho một thầy nhưng mà chờ mãi vẫn chưa nhận được câu trả lời","Support from lecturers","chờ mãi vẫn chưa nhận được câu trả lời","Negative"
"66","giảng viên nên giảng nhiều hơn chứ không nên để sinh viên lên làm bài tập .","giảng viên nên giảng nhiều hơn chứ không nên để sinh viên lên làm bài tập","giảng nhiều hơn chứ không nên để sinh viên lên làm bài tập","Teaching quality","nên","Neutral"
"67","thầy giảng đúng trọng tâm đề dễ hiểu .","thầy giảng đúng trọng tâm đề dễ hiểu","giảng","Teaching quality","đúng trọng tâm đề dễ hiểu","Positive"
"68","cô không sử dụng hệ thống course của trường .","cô không sử dụng hệ thống course của trường","hệ thống course của trường","Learning environment","không sử dụng","Negative"
"69","đi học hay không đi học cũng như nhau .","đi học hay không đi học cũng như nhau","đi học hay không đi học cũng như nhau","Organization and management","cũng như nhau","Negative"
"70","thầy giảng bài dễ hiểu , nhiệt tình .","thầy giảng bài dễ hiểu","giảng bài","Teaching quality","dễ hiểu","Positive"
"70","thầy giảng bài dễ hiểu , nhiệt tình .","nhiệt tình","nhiệt tình","Support from lecturers","nhiệt tình","Positive"
"71","cho bài tập đầy đủ .","cho bài tập đầy đủ","bài tập đầy đủ","Teaching quality","đầy đủ","Positive"
"72","thầy dạy rất tốt , rất hay .","thầy dạy rất tốt , rất hay","dạy","Teaching quality","rất tốt , rất hay","Positive"
"73","cô cho bài tập về nhà , deadline cuối mỗi chương , bài tập mỗi chương giúp tụi em nắm vững kiến thức của môn học này .","cô cho bài tập về nhà , deadline cuối mỗi chương , bài tập mỗi chương giúp tụi em nắm vững kiến thức của môn học này","bài tập về nhà , deadline cuối mỗi chương","Teaching quality","nắm vững kiến thức","Positive"
"74","chép bài trên bảng nhanh , giảng hơi nhanh .","chép bài trên bảng nhanh","chép bài trên bảng","Teaching quality","nhanh","Negative"
"74","chép bài trên bảng nhanh , giảng hơi nhanh .","giảng hơi nhanh","giảng","Teaching quality","hơi nhanh","Negative"
"75","rất thích cách xét công tâm của cô .","rất thích cách xét công tâm của cô","công tâm của cô","Support from lecturers","rất thích cách xét công tâm","Positive"
"76","cô dạy khó hiểu , phức tạp hóa vấn đề .","cô dạy khó hiểu , phức tạp hóa vấn đề","dạy","Teaching quality","khó hiểu , phức tạp hóa","Negative"
"77","cách cô sắp xếp sinh viên khi thi giữa kỳ rất lộn xộn .","cách cô sắp xếp sinh viên khi thi giữa kỳ rất lộn xộn","sắp xếp sinh viên khi thi giữa kỳ","Organization and management","rất lộn xộn","Negative"
"78","nhiều nội dung môn học bị bỏ qua .","nhiều nội dung môn học bị bỏ qua","nội dung môn học","Course information","bị bỏ qua","Negative"
"79","thầy dạy nhiệt tình dễ hiểu , cho làm nhiều bài tập hay thú vị .","thầy dạy nhiệt tình dễ hiểu","dạy","Teaching quality","nhiệt tình dễ hiểu","Positive"
