"id","Review","Sentence Component","aspect_text","aspect","sentiment_text","sentiment"
"1","thầy giảng bài tập chưa hay .","thầy giảng bài tập chưa hay","thầy giảng bài tập","Teaching quality","chưa hay","Negative"
"2","chuẩn bị bài giảng kỹ càng .","chuẩn bị bài giảng kỹ càng","chuẩn bị bài giảng","Teaching quality"," kỹ càng","Positive"
"3","em phải nói thật thầy dạy hơi buồn ngủ .","em phải nói thật thầy dạy hơi buồn ngủ","thầy dạy","Teaching quality","hơi buồn ngủ","Negative"
"4","giảng viên giảng dạy một cách rất khó hiểu , khó tiếp thu và rất dễ ngủ .","giảng viên giảng dạy một cách rất khó hiểu , khó tiếp thu và rất dễ ngủ","giảng viên giảng dạy","Teaching quality","rất khó hiểu , khó tiếp thu và rất dễ ngủ","Negative"
"5","chương trình dạy không đem nhiều lợi ích .","chương trình dạy không đem nhiều lợi ích","chương trình dạy","Course information","không đem nhiều lợi ích","Negative"
"6","cô giảng dạy dễ hiểu , nhiệt tình , luôn trả lời nhiệt tình câu hỏi của sinh viên đặt ra .","cô giảng dạy dễ hiểu","cô giảng dạy","Teaching quality","dễ hiểu","Positive"
"6","cô giảng dạy dễ hiểu , nhiệt tình , luôn trả lời nhiệt tình câu hỏi của sinh viên đặt ra .","nhiệt tình , luôn trả lời nhiệt tình câu hỏi của sinh viên đặt ra","trả lời","Support from lecturers","nhiệt tình , luôn trả lời nhiệt tình câu hỏi","Positive"
"7","điểm danh học sinh đi học .","điểm danh học sinh đi học","điểm danh ","Support from lecturers","điểm danh học sinh đi học","Neutral"
"8","giảng viên có nhiều kinh nghiệm .","giảng viên có nhiều kinh nghiệm","giảng viên","Teaching quality","có nhiều kinh nghiệm","Positive"
"9","nhiệt tình vui vẻ nói chung ra rất tốt .","nhiệt tình vui vẻ nói chung ra rất tốt","nhiệt tình vui vẻ nói chung ra rất tốt","Support from lecturers","nhiệt tình vui vẻ ","Positive"
